"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"GRM21BR61H225KA73L";"GRM21BR61H225KA73L";"MURATA";"10";"ks";"1.1241";"13.65";"11.28";"13.65";"CZK"
"";"CL21A226MAYNNNE";"CL21A226MAYNNNE";"SAMSUNG";"1";"ks";"1.4211";"1.74";"1.44";"1.74";"CZK"
"";"06035A5R6CAT2A";"06035A5R6CAT2A";"KYOCERA AVX";"1";"ks";"1.64832";"2.06";"1.7";"2.06";"CZK"
"";"CC0603CRNPO9BN4R7";"CC0603CRNPO9BN4R7";"YAGEO";"1";"ks";"1.24278";"1.46";"1.21";"1.46";"CZK"
"";"GRM188R71H471KA01D";"GRM188R71H471KA01D";"MURATA";"10";"ks";"0.8082";"9.8";"8.1";"9.8";"CZK"
"";"0603B221J500CT";"0603B221J500CT";"WALSIN";"100";"ks";"0.39511";"47.81";"39.51";"47.81";"CZK"
"";"LQW18AN20NG00D";"LQW18AN20NG00D";"MURATA";"1";"ks";"2.2083";"2.73";"2.26";"2.73";"CZK"
"";"LQW18AN20NG00D";"LQW18AN20NG00D";"MURATA";"1";"ks";"2.2083";"2.73";"2.26";"2.73";"CZK"
"";"LQW18AN18NJ00D";"LQW18AN18NJ00D";"MURATA";"1";"ks";"2.06";"2.64";"2.18";"2.64";"CZK"
"";"DL0805-12";"DL0805-12";"FERROCORE";"20";"ks";"1.3181";"31.9";"26.36";"31.9";"CZK"
"";"DR125-2R2-R";"DR125-2R2-R";"EATON ELECTRONICS";"5";"ks";"17.453";"105.58";"87.26";"105.58";"CZK"
"";"G6EU-134P-US-5DC";"G6EU-134P-US 5VDC";"OMRON Electronic Components";"1";"ks";"186.65";"225.85";"186.65";"225.85";"CZK"
"";"USB4105-GF-A";"USB4105-GF-A";"GCT";"5";"ks";"14.641";"88.57";"73.2";"88.57";"CZK"
"";"RC0805FR-070RL";"RC0805FR-070RL";"YAGEO";"5";"ks";"1.43016";"8.8";"7.27";"8.8";"CZK"
"";"WR08X1200FTL";"WR08X1200FTL";"WALSIN";"10";"ks";"0.5917";"7.04";"5.82";"7.04";"CZK"
"";"ERA6AEB821V";"ERA6AEB821V";"PANASONIC";"1";"ks";"1.5174";"1.75";"1.45";"1.75";"CZK"
"";"AR0805-50R-0.1%";"AR05BTCW0500";"Viking";"10";"ks";"2.4365";"29.4";"24.3";"29.4";"CZK"
"";"RC0805FR-07100R";"RC0805FR-07100RL";"YAGEO";"10";"ks";"0.63678";"7.62";"6.3";"7.62";"CZK"
"";"RC0805FR-07100R";"RC0805FR-07100RL";"YAGEO";"10";"ks";"0.63678";"7.62";"6.3";"7.62";"CZK"
"";"OPA2342UA";"OPA2342UA";"TEXAS INSTRUMENTS";"1";"ks";"53.09";"64.24";"53.09";"64.24";"CZK"
"";"USBLC6-2SC6";"USBLC6-2SC6";"STMicroelectronics";"5";"ks";"6.4139";"38.72";"32";"38.72";"CZK"
"";"AP63203WU-7";"AP63203WU-7";"DIODES INCORPORATED";"10";"ks";"9.841";"119.08";"98.41";"119.08";"CZK"
"";"LD1117STR";"LD1117STR";"STMicroelectronics";"5";"ks";"8.096";"48.98";"40.48";"48.98";"CZK"
"";"OSC25M-3.3I/S5";"OSC25M-3.3I/S5";"YIC";"1";"ks";"26.569";"32.15";"26.57";"32.15";"CZK"
"";"ESP32C3-WROOM-02H4";"ESP32-C3-WROOM-02-H4";"ESPRESSIF";"1";"ks";"58.08";"70.28";"58.08";"70.28";"CZK"
"";"SMAJ5.0CA-BOU";"SMAJ5.0CA";"BOURNS";"1";"ks";"7.393";"9.09";"7.51";"9.09";"CZK"
"";"SMAJ36A-BOU";"SMAJ36A";"BOURNS";"1";"ks";"6.9569";"8.51";"7.03";"8.51";"CZK"
"";"SMAJ5.0A-TR";"SMAJ5.0A-TR";"STMicroelectronics";"5";"ks";"4.581";"27.87";"23.03";"27.87";"CZK"
"";"B240A-13-F";"B240A-13-F";"DIODES INCORPORATED";"2";"ks";"3.442";"8.22";"6.79";"8.22";"CZK"
"";"WR08X4700FTL";"WR08X4700FTL";"WALSIN";"2";"ks";"1.44301";"3.52";"2.91";"3.52";"CZK"
